n,ila
1475,42618
1476,70002
1477,71372
1478,85199
1479,95279
1480,122611
1481,89730
1482,72905
1483,72326
1484,45598
1485,34714
1486,-19131
1487,-35783
1488,-65070
1489,-60354
1490,-69761
1491,-111017
1492,-99819
1493,-106741
1494,-86330
1495,-73024
1496,-70850
1497,-1961
1498,6440
1499,4910
1500,41551
1501,64334
1502,87389
1503,111721
1504,115892
1505,85246
1506,77528
1507,66108
1508,69518
1509,29412
1510,-555
1511,-24407
1512,-68387
1513,-56461
1514,-91058
1515,-77814
1516,-81095
1517,-82299
1518,-101968
1519,-90762
1520,-43063
1521,-32519
1522,12792
1523,9421
1524,38593
1525,82678
1526,104512
1527,90444
1528,81915
1529,93828
1530,90326
1531,64761
1532,51241
1533,39778
1534,2441
1535,-21053
1536,-55801
1537,-65789
1538,-88230
1539,-103338
1540,-80023
1541,-97837
1542,-95753
1543,-84545
1544,-41238
1545,-1830
1546,12912
1547,13774
1548,38512
1549,66725
1550,95738
1551,118257
1552,98902
1553,100379
1554,82013
1555,46609
1556,31672
1557,20148
1558,-8169
1559,-39722
1560,-71848
1561,-89243
1562,-89135
1563,-92848
1564,-92622
1565,-92800
1566,-77481
1567,-44227
1568,-27430
1569,-5401
1570,11083
1571,34605
1572,84020
1573,111055
1574,114682
1575,94481
1576,83978
1577,78531
1578,67887
1579,48162
1580,5716
1581,-2676
1582,-24664
1583,-65177
1584,-96132
1585,-106948
1586,-95120
1587,-92202
1588,-110153
1589,-71602
1590,-50728
1591,-42971
1592,3295
1593,9850
1594,55962
1595,88038
1596,74207
1597,89501
1598,103879
1599,97882
1600,82262
1601,58520
1602,37993
1603,16687
1604,-12510
1605,-41958
1606,-77428
1607,-86854
1608,-85811
1609,-101750
1610,-107279
1611,-80701
1612,-63536
1613,-25857
1614,-32418
1615,2019
1616,57936
1617,58380
1618,78534
1619,82725
1620,96416
1621,104477
1622,102499
1623,73317
1624,44906
1625,17845
1626,-8489
1627,-33243
1628,-57627
1629,-76318
1630,-88257
1631,-102400
1632,-116047
1633,-93559
1634,-67963
1635,-50835
1636,-19398
1637,-17423
1638,15704
1639,55390
1640,64856
1641,91305
1642,100284
1643,122846
1644,106579
1645,70867
1646,43978
1647,27535
1648,9046
1649,-32765
1650,-58365
1651,-76912
1652,-93580
1653,-107464
1654,-119852
1655,-102015
1656,-81528
1657,-57673
1658,-14161
1659,9259
1660,45687
1661,45515
1662,68871
1663,98356
1664,101120
1665,91346
1666,94316
1667,86863
1668,52840
1669,27696
1670,-18985
1671,-28063
1672,-44880
1673,-72202
1674,-98220
1675,-92556
1676,-89360
1677,-102867
1678,-79510
1679,-43390
1680,-33090
1681,9510
1682,40056
1683,52118
1684,94627
1685,82744
